method,k,time,silhouette,db_index,norm
kmeans,3,0.07649612426757812,0.061044104383195893,3.665667638118551,l1
kmeans,5,0.0063741207122802734,0.05348505851654149,2.9978806852011544,l1
kmeans,7,0.0054700374603271484,0.08493599971794197,2.511384979448532,l1
lmbm,3,28.961334943771362,0.28463988785855565,0.8586233082793443,l1
lmbm,5,54.502487897872925,0.059313844489079455,2.6849626819892984,l1
lmbm,7,83.15366005897522,0.06042450631110796,2.611945274393451,l1
kmeans,3,0.007776021957397461,0.061044104383195893,3.665667638118551,l2
kmeans,5,0.007660865783691406,0.05348505851654149,2.9978806852011544,l2
kmeans,7,0.004878044128417969,0.08493599971794197,2.511384979448532,l2
lmbm,3,5.12006402015686,0.2991504780626999,0.7647991367573471,l2
lmbm,5,14.724773168563843,0.03965572311461558,1.9190696253443764,l2
lmbm,7,28.83832097053528,0.06483086486654552,2.2731682398682556,l2
kmeans,3,0.007645845413208008,0.061044104383195893,3.665667638118551,linf
kmeans,5,0.006329059600830078,0.05348505851654149,2.9978806852011544,linf
kmeans,7,0.005300045013427734,0.08493599971794197,2.511384979448532,linf
lmbm,3,30.83056402206421,0.28734954345824554,1.7335810404735934,linf
lmbm,5,59.103673219680786,0.03802029220116565,3.014114121725954,linf
lmbm,7,108.31629610061646,-0.009028226038874947,3.1628327430598886,linf
