method,k,time,silhouette,db_index,norm
smoothing,3,29.581427812576294,0.23417466117518657,1.6617670132086173,l1
smoothing,5,58.42391490936279,0.32225361353616444,1.1197929946050633,l1
smoothing,7,85.77677202224731,0.39048031752512474,0.8211820010663929,l1
lmbm,3,22.709864854812622,0.25169819742650185,1.5285133356073501,l1
lmbm,5,39.30065202713013,0.3625697286722287,0.9917371093341749,l1
lmbm,7,48.13987183570862,0.298776555776174,1.1050547599343474,l1
kmeans,3,0.03715324401855469,0.3502714356255855,1.0423838238490137,l1
kmeans,5,0.0006489753723144531,0.3513706622522013,1.1074374985032762,l1
kmeans,7,0.0016219615936279297,0.36489270859646666,1.0899359113168108,l1
smoothing,3,18.005331993103027,0.2360463233383215,1.214611239359259,l2
smoothing,5,29.19961929321289,0.348215290403024,1.0200511157224799,l2
smoothing,7,46.10253310203552,0.3958771974124388,0.8121111875561049,l2
lmbm,3,181.44321084022522,0.32514342916638456,1.1715635602230963,l2
lmbm,5,214.37678813934326,0.3661912966687635,1.0754564517307876,l2
lmbm,7,231.2031490802765,0.3644162236450513,0.89170999754943,l2
kmeans,3,0.0006220340728759766,0.3502714356255855,1.0423838238490137,l2
kmeans,5,0.0004229545593261719,0.3513706622522013,1.1074374985032762,l2
kmeans,7,0.0005071163177490234,0.36489270859646666,1.0899359113168108,l2
smoothing,3,204.95827102661133,0.20201974650435356,1.4145045113446042,linf
smoothing,5,423.0804829597473,0.3215341331865287,1.0716543555559945,linf
smoothing,7,27831.94221830368,0.35570661164890877,1.0256642796973592,linf
lmbm,3,1019.8479130268097,0.34593201065956947,1.0163457483644052,linf
lmbm,5,294.31979489326477,0.3263148275825135,1.3408178606897132,linf
lmbm,7,280.0518321990967,0.358070728827727,1.022041502555192,linf
kmeans,3,0.0006401538848876953,0.3502714356255855,1.0423838238490137,linf
kmeans,5,0.0003719329833984375,0.3513706622522013,1.1074374985032762,linf
kmeans,7,0.00037598609924316406,0.36489270859646666,1.0899359113168108,linf
